카테고리,채널명,구독자수,조회수,영상수
키즈/어린이,JoyKids,"1,010,000","566,060,000",150
영화/만화/애니,달빛뮤즈,"1,010,000","218,140,000",386
교육/강의,공부의신 강성태,"1,010,000","262,130,000","2,569"
TV/방송,우와한 비디오,"1,000,000","1,095,950,000","1,140"
게임,기리TV,"1,000,000","983,480,000","2,541"
취미/라이프,집꾸미기,"1,000,000","94,110,000",221
게임,쁘허,"1,000,000","353,250,000",944
TV/방송,딩고 / dingo,"990,000","326,920,000",670
미분류,히밥heebab,"990,000","232,500,000",338
미분류,수빙수tv sooBingsoo,"980,000","284,550,000",250
미분류,채꾸똥꾸 (Cherry & Dong),"980,000","256,340,000",271
영화/만화/애니,Puuung,"980,000","46,130,000",302
BJ/인물/연예인,유준호,"980,000","421,240,000","1,240"
취미/라이프,Kim Miso,"980,000","56,890,000",300
취미/라이프,ColorMonsters Toy,"970,000","544,930,000","1,040"
게임,램램TV,"970,000","792,240,000","2,180"
게임,코너Korner,"970,000","581,230,000",578
뉴스/정치/사회,KBS 다큐,"970,000","569,400,000","49,739"
취미/라이프,제이제이살롱드핏,"970,000","180,820,000",418
게임,텔론,"970,000","894,430,000","3,104"
음식/요리/레시피,SOF,"970,000","355,130,000","1,508"
